"","Team","Season","Player1","Player2","Arch1","Arch2","Lebron1","Lebron2","WinsAdded1","WinsAdded2","MPG1","MPG2","PM0","PM1","PM2","PM3","ActM0","ActM1","ActM2","ActM3","Stack/Stagger","SuggM0","suggM1","SuggM2","SuggM3","SuggProp","ActualProp","DiffProp","Stack","GamesPlayed","ActM0_PerGame","ActM1_PerGame","ActM2_PerGame","ActM3_PerGame","ActSum","max_m0","ActM0_Prop","NewArch1","NewArch2","Double_Arch","NewDouble_Arch","NewSugg0","NewSugg1","NewSugg2","NewSugg3","StackSugg0","StackSugg1","StackSugg2","StackSugg3","StaggerSugg0","StaggerSugg1","StaggerSugg2","StaggerSugg3","suggM0_Prop","FinalStack","FinalCompStack","RealGameScore","SuggGameScore","GameImprovement","StackGameScore","StackImprovement","StaggerGameScore","StaggerImprovement","Diff_M0_PerGame","Diff_M1_PerGame","Diff_M2_PerGame","Diff_M3_PerGame","NDA_factor"
"256","ORL",2013,"Jameer Nelson","Nikola Vucevic","Primary Ball Handler","Post Scorer",0.58,-0.7,3.8,2.7,35.5410903173312,32.9438567941416,-4.15,1.12,-20.81,-4.48,423,348,215,1472,11.06,12.7,2.09999999999999,0,33.2,0.75275147171743,0.723341523341523,0.0294099483759069,TRUE,51.2083333333333,8.26037428803906,6.79576891781937,4.19853539462978,28.7453213995118,48,12.46,0.66295138748307,"On Ball","On_Ball_Big","Post Scorer Primary Ball Handler","On Ball On_Ball_Big",8.93,6.13,3.53,29.41,12.46,2.6,0,32.94,0,15.06,12.46,20.48,0.71669341894061,TRUE,TRUE,-5.05874694873881,-4.1476875,0.911059448738811,-4.09100416666667,0.967742782072145,-6.96199583333333,-1.90324888459452,0.669625711960943,-0.665768917819365,-0.66853539462978,0.664678600488202,"On Ball On_Ball_Big"
"257","ATL",2020,"Trae Young","John Collins","Primary Ball Handler","Roll + Cut Big",1.33,1.64,5.1,3.6,33.9420289855072,32.8405797101449,-7.99,-0.32,-21.62,-1.55,267,256,218,915,12.4,12.7,2.09999999999999,0,33.2,0.784130376703179,0.658747300215983,0.125383076487196,TRUE,34.5,7.73913043478261,7.42028985507246,6.31884057971014,26.5217391304348,48,14.06,0.550436019543571,"On Ball","Off_Ball_Big","Primary Ball Handler Roll + Cut Big","Off_Ball_Big On Ball",10.57,4.59,3.49,29.35,14.06,1.1,0,32.84,0,15.16,14.06,18.78,0.751778093883357,TRUE,TRUE,-5.04025362318841,-3.20010416666667,1.84014945652174,-3.40819583333333,1.63205778985507,-7.0403625,-2.00010887681159,2.83086956521739,-2.83028985507246,-2.82884057971014,2.82826086956522,"Off_Ball_Big On Ball"
"258","SAS",2019,"LaMarcus Aldridge","DeMar DeRozan","Post Scorer","Shot Creator",1.85,0.72,7.4,5.4,32.9113379903278,34.6781300376142,8.26,4.66,-2.01,0.88,723,310,447,2242,6.49,13.1,0,1.7,33.2,0.726877874297394,0.74758252750917,-0.0207046532117758,TRUE,77.5416666666667,9.32401934443847,3.99785061794734,5.76464266523374,28.9134873723804,48,13.32,0.700001452285171,"On_Ball_Big","On Ball","Post Scorer Shot Creator","On Ball On_Ball_Big",8.86,4.46,6.23,28.45,13.32,0,1.77,32.91,0,13.32,15.09,19.59,0.665165165165165,TRUE,FALSE,2.28131918323482,2.79177083333333,0.510451650098514,2.82138125,0.54006206676518,1.02040625,-1.26091293323482,-0.464019344438475,0.46214938205266,0.465357334766256,-0.463487372380438,"On Ball On_Ball_Big"
"259","CHI",2010,"Luol Deng","Kirk Hinrich","Athletic Finisher","Secondary Ball Handler",1.1,0.16,6.1,4.1,37.3802541544477,33.2512218963832,-2.59,5.31,-10.31,1.22,214,729,465,1661,3.63,10.1,4.4,0,33.5,0.708101571946796,0.581786339754816,0.12631523219198,TRUE,63.9375,3.34701857282502,11.4017595307918,7.27272727272727,25.9784946236559,48,10.62,0.315161824183147,"Off Ball","On Ball","Athletic Finisher Secondary Ball Handler","Off Ball On Ball",6.65,8.1,3.97,29.28,10.62,4.13,0,33.25,0,14.75,10.62,22.63,0.626177024482109,TRUE,TRUE,0.178885630498534,0.793229166666666,0.614343536168133,0.728947916666667,0.550062286168133,-0.0741895833333335,-0.253075213831867,3.30298142717498,-3.30175953079179,-3.30272727272727,3.30150537634409,"Off Ball On Ball"
"260","DET",2019,"Andre Drummond","Blake Griffin","Post Scorer","Versatile Big",2.86,1.98,9.1,7.5,32.9166427957605,34.5253509023202,1.08,-2.15,-14.55,4.56,565,415,532,1979,22.34,13,0,1.5,33.5,0.838832833378784,0.67634996582365,0.162482867555134,TRUE,72.7291666666667,7.76854769407047,5.70610140360928,7.31480951016901,27.2105413921512,48,13.47,0.576729598668928,"On_Ball_Big","On_Ball_Big","Post Scorer Versatile Big","On_Ball_Big On_Ball_Big",11.32,2.15,3.76,30.76,13.47,0,1.61,32.91,0,13.47,15.08,19.44,0.840386043058649,TRUE,TRUE,0.286906330564308,3.0203125,2.73340616943569,2.94149375,2.65458741943569,-3.32766875,-3.61457508056431,3.55145230592953,-3.55610140360928,-3.55480951016901,3.54945860784876,"On_Ball_Big On_Ball_Big"
"261","MEM",2014,"Mike Conley","Zach Randolph","Slasher","Post Scorer",3.22,1.63,9.1,7.2,33.4196983141083,33.8030168589175,1.21,-4.72,4.04,4.08,617,383,410,1971,5.97,13.8,0,0.700000000000003,33.5,0.743709468223087,0.713096960926194,0.0306125072968929,TRUE,70.4375,8.75953859804791,5.43744454303461,5.82076308784383,27.9822537710736,48,14.2,0.616868915355487,"On Ball","On_Ball_Big","Post Scorer Slasher","On Ball On_Ball_Big",9.45,4.75,5.13,28.67,14.2,0,0.38,33.42,0,14.2,14.58,19.22,0.665492957746479,TRUE,TRUE,2.5545371191955,3.25429166666667,0.699754547471163,3.23064166666667,0.676104547471162,1.46451666666667,-1.09002045252884,0.690461401952085,-0.687444543034605,-0.690763087843833,0.687746228926354,"On Ball On_Ball_Big"
"262","GSW",2011,"Stephen Curry","Dorell Wright","Primary Ball Handler","Stationary Shooter",1.41,-0.05,6.2,4.8,33.4000559127761,38.2309197651663,0.37,-7.7,-7.31,-0.01,375,353,713,2136,15.37,9.6,0,4.8,33.6,0.752630291167115,0.667083073079325,0.0855472180877898,TRUE,74.5208333333333,5.03214984623987,4.73693038859379,9.56779424098407,28.6631255241823,48,9.77,0.515061396749219,"On Ball","Off Ball","Primary Ball Handler Stationary Shooter","Off Ball On Ball",7.13,2.64,7.47,30.76,9.77,0,4.83,33.4,0,9.77,14.6,23.63,0.72978505629478,TRUE,TRUE,-2.18415991053956,-0.664,1.52015991053956,-0.667216666666667,1.51694324387289,-3.79565208333333,-1.61149217279377,2.09785015376013,-2.09693038859379,-2.09779424098407,2.09687447581772,"Off Ball On Ball"
"263","HOU",2019,"James Harden","Clint Capela","Shot Creator","Roll + Cut Big",6.31,2.2,15.8,6.7,36.24039408867,33.4029556650246,4.78,5.28,-0.97,7.16,435,491,311,1808,7.63,11.2,3.2,0,33.6,0.733200597312096,0.69272030651341,0.0404802907986856,TRUE,63.4375,6.85714285714286,7.73990147783251,4.90246305418719,28.5004926108374,48,11.76,0.583090379008746,"On Ball","Off_Ball_Big","Roll + Cut Big Shot Creator","Off_Ball_Big On Ball",7.82,6.78,3.94,29.46,11.76,2.84,0,33.4,0,14.6,11.76,21.64,0.664965986394558,TRUE,TRUE,5.68649917898194,6.47933333333333,0.792834154351397,6.46566666666667,0.779167487684729,4.59631666666667,-1.09018251231527,0.962857142857144,-0.959901477832512,-0.962463054187193,0.959507389162564,"Off_Ball_Big On Ball"
"264","LAC",2010,"Baron Davis","Eric Gordon","Shot Creator","Secondary Ball Handler",2.28,-0.95,7.8,2,33.8030634573304,35.6586433260394,-0.66,-12.02,-23.05,-0.47,389,316,422,1615,33.94,12,0,2.4,33.6,0.893675027262813,0.686357841053974,0.20731718620884,TRUE,57.125,6.80962800875274,5.53172866520788,7.38730853391685,28.2713347921225,48,12.34,0.551833712216591,"On Ball","On Ball","Secondary Ball Handler Shot Creator","On Ball On Ball",11.32,1.02,2.88,32.78,12.34,0,1.86,33.8,0,12.34,14.2,21.46,0.917341977309562,TRUE,TRUE,-5.30314004376368,-1.6465,3.65664004376368,-1.39382083333333,3.90931921043034,-10.1192291666667,-4.81608912290299,4.51037199124726,-4.51172866520788,-4.50730853391685,4.50866520787746,"On Ball On Ball"
"265","CHA",2011,"DJ Augustin","Boris Diaw","Primary Ball Handler","Post Scorer",-1.11,-1.07,2.2,2.2,33.4097450138854,33.6642262055037,0.8,-8.27,-4.89,-5.08,692,491,512,2266,8.88,14.1,0,0.299999999999997,33.6,0.769656992084433,0.693178342000612,0.0764786500838208,TRUE,82.5208333333333,8.38576117142136,5.95001262307498,6.20449381469326,27.4597323908104,48,14.34,0.58478111376718,"On Ball","On_Ball_Big","Post Scorer Primary Ball Handler","On Ball On_Ball_Big",10.1,4.24,4.49,29.17,14.34,0,0.25,33.41,0,14.34,14.59,19.07,0.704323570432357,TRUE,TRUE,-4.42361272405958,-3.3515625,1.07205022405958,-3.32236041666667,1.10125230739292,-5.97526041666667,-1.55164769260709,1.71423882857864,-1.71001262307498,-1.71449381469326,1.7102676091896,"On Ball On_Ball_Big"
