PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
LeBron James,2009-10,CLE,Shot Creator,"2,966",SF,25,8.84,7.31,1.52,20.7,7.2,5.89,1.31
James Harden,2018-19,HOU,Shot Creator,"2,867",PG,29,6.31,6.83,-0.52,15.8,6.41,7.04,-0.63
Stephen Curry,2015-16,GSW,Primary Ball Handler,"2,700",PG,27,6.77,6.75,0.03,16,6.99,7.06,-0.07
James Harden,2017-18,HOU,Shot Creator,"2,551",SG,28,6.32,6.6,-0.28,14.3,6.96,6.73,0.23
James Harden,2019-20,HOU,Shot Creator,"2,483",SG,30,6.98,6.53,0.46,14.6,5.87,6.22,-0.34
Kevin Durant,2013-14,OKC,Shot Creator,"3,122",SF,25,6.77,6.33,0.44,18.5,5.72,5.3,0.42
Stephen Curry,2016-17,GSW,Primary Ball Handler,"2,639",PG,28,6.68,6.27,0.42,15.3,5.04,5.06,-0.02
James Harden,2016-17,HOU,Shot Creator,"2,947",PG,27,5.48,6.2,-0.72,15,5.75,5.92,-0.16
Nikola Jokic,2020-21,DEN,Post Scorer,"2,488",C,25,6.83,6.19,0.64,14.3,5.87,5.24,0.64
LeBron James,2012-13,MIA,Shot Creator,"2,877",PF,28,7.4,6.18,1.22,18.1,6.5,5.58,0.92
Stephen Curry,2017-18,GSW,Primary Ball Handler,"1,631",PG,29,5.34,6.05,-0.71,8.2,4.67,5.55,-0.88
Chris Paul,2011-12,LAC,Shot Creator,"2,180",PG,26,5.95,6.04,-0.08,12,4.75,4.56,0.18
Stephen Curry,2020-21,GSW,Primary Ball Handler,"2,152",PG,32,5.29,5.93,-0.64,10.5,3.89,4.9,-1.01
Russell Westbrook,2014-15,OKC,Shot Creator,"2,302",PG,26,5.52,5.92,-0.39,12,4.39,4.61,-0.22
Russell Westbrook,2015-16,OKC,Shot Creator,"2,749",PG,27,6.42,5.89,0.53,15.7,5.53,5.15,0.38
Chris Paul,2012-13,LAC,Shot Creator,"2,335",PG,27,6.92,5.88,1.04,14.1,5.74,4.77,0.97
Damian Lillard,2019-20,POR,Shot Creator,"2,474",PG,29,4,5.87,-1.88,10.2,3.42,5.47,-2.06
Stephen Curry,2014-15,GSW,Primary Ball Handler,"2,613",PG,26,6.8,5.83,0.97,15.6,5.84,5.38,0.47
Dwyane Wade,2009-10,MIA,Shot Creator,"2,792",SG,28,6.36,5.76,0.6,15.8,4.54,3.83,0.7
James Harden,2014-15,HOU,Shot Creator,"2,981",SG,25,5.39,5.69,-0.29,15.3,4.85,4.45,0.41
Damian Lillard,2016-17,POR,Shot Creator,"2,693",PG,26,4.24,5.69,-1.45,11.7,2.62,4.06,-1.44
Nikola Jokic,2021-22,DEN,Post Scorer,"2,476",C,27,7.8,5.68,2.12,15.5,6.53,5.11,1.42
LeBron James,2013-14,MIA,Shot Creator,"2,902",PF,29,5.42,5.64,-0.23,14.9,4.79,4.87,-0.08
Russell Westbrook,2016-17,OKC,Shot Creator,"2,802",PG,28,5.79,5.63,0.16,14.8,5.5,5.4,0.1
LeBron James,2016-17,CLE,Shot Creator,"2,795",SF,32,5.78,5.56,0.22,14.7,4.44,4.44,0
Isaiah Thomas,2016-17,BOS,Primary Ball Handler,"2,569",PG,27,2.84,5.54,-2.7,8.8,3.55,5.33,-1.79
Luka Doncic,2019-20,DAL,Shot Creator,"2,047",PG,20,4.63,5.51,-0.88,9.2,5.33,5.73,-0.4
Damian Lillard,2020-21,POR,Shot Creator,"2,398",PG,30,3.73,5.39,-1.66,9.4,3.48,5.48,-2
LeBron James,2011-12,MIA,Shot Creator,"2,326",SF,27,6.28,5.37,0.91,13.3,5.63,4.34,1.3
LeBron James,2015-16,CLE,Shot Creator,"2,709",SF,31,6.83,5.3,1.54,16.1,4.87,4.25,0.62
James Harden,2013-14,HOU,Shot Creator,"2,777",SG,24,4.75,5.23,-0.48,13.1,3.61,4.03,-0.41
Kawhi Leonard,2019-20,LAC,Shot Creator,"1,848",SF,28,6.86,5.21,1.65,10.7,5.29,4.28,1.01
Chris Paul,2014-15,LAC,Shot Creator,"2,857",PG,29,5.76,5.19,0.57,15.3,5.18,4.84,0.35
Trae Young,2021-22,ATL,Shot Creator,"2,652",PG,23,2.93,5.15,-2.21,9.1,3.05,4.99,-1.94
Damian Lillard,2018-19,POR,Primary Ball Handler,"2,838",PG,28,4.83,5.14,-0.32,13.2,3.71,4.41,-0.7
LeBron James,2010-11,MIA,Shot Creator,"3,063",SF,26,6.26,5.03,1.23,17.2,5.51,4.36,1.15
Kevin Durant,2015-16,OKC,Shot Creator,"2,578",SF,27,5.07,5.01,0.06,12.7,5.23,4.82,0.41
Stephen Curry,2018-19,GSW,Primary Ball Handler,"2,331",PG,30,5.06,4.96,0.1,11.2,4.14,4.85,-0.72
Trae Young,2019-20,ATL,Primary Ball Handler,"2,120",PG,21,1.33,4.85,-3.52,5.1,1.16,3.85,-2.68
Kawhi Leonard,2016-17,SAS,Shot Creator,"2,474",SF,25,6.15,4.83,1.32,13.6,5.61,4.29,1.32
James Harden,2015-16,HOU,Shot Creator,"3,125",SG,26,4.36,4.8,-0.45,14,3.24,4.19,-0.95
Chris Paul,2015-16,LAC,Shot Creator,"2,420",PG,30,6,4.79,1.21,13.3,4.76,4.23,0.53
Giannis Antetokounmpo,2019-20,MIL,Shot Creator,"1,917",PF,25,9.03,4.78,4.25,13.3,7.84,5.02,2.82
Stephen Curry,2013-14,GSW,Shot Creator,"2,846",PG,25,5.47,4.78,0.68,14.7,3.95,3.74,0.22
James Harden,2011-12,OKC,Primary Ball Handler,"1,946",SG,22,3.21,4.77,-1.56,7.3,1.86,2.72,-0.86
Kevin Durant,2010-11,OKC,Secondary Ball Handler,"3,038",SF,22,4.23,4.74,-0.5,13.3,3.09,3.25,-0.16
Manu Ginobili,2011-12,SAS,Primary Ball Handler,792,SG,34,3.84,4.71,-0.87,3.3,2.31,2.65,-0.34
Chris Paul,2013-14,LAC,Shot Creator,"2,171",PG,28,6.61,4.68,1.93,12.7,5.29,4.44,0.85
Kevin Durant,2009-10,OKC,Secondary Ball Handler,"3,239",SF,21,5.63,4.68,0.95,16.9,3.68,3.19,0.5
Kevin Love,2013-14,MIN,Versatile Big,"2,797",PF,25,4.45,4.67,-0.22,12.6,4.44,4.33,0.11
Luka Doncic,2020-21,DAL,Shot Creator,"2,262",PG,21,3.97,4.67,-0.7,9.2,4.31,4.68,-0.37
Chris Paul,2016-17,LAC,Shot Creator,"1,921",PG,31,6.26,4.64,1.62,10.6,5.22,4.5,0.72
LeBron James,2017-18,CLE,Shot Creator,"3,026",PF,33,4.35,4.58,-0.23,13.3,4.48,4.8,-0.32
Kevin Durant,2012-13,OKC,Shot Creator,"3,119",SF,24,5.42,4.57,0.85,16.1,5.85,4.46,1.39
Damian Lillard,2017-18,POR,Shot Creator,"2,670",PG,27,4.47,4.57,-0.1,12,3.54,4.33,-0.79
Karl-Anthony Towns,2019-20,MIN,Versatile Big,"1,187",C,24,4.65,4.52,0.13,5.4,3.2,3.3,-0.1
Steve Nash,2009-10,PHO,Shot Creator,"2,660",PG,35,3.12,4.52,-1.4,9.7,2.31,3.8,-1.49
LeBron James,2019-20,LAL,Shot Creator,"2,316",PG,35,5.5,4.48,1.02,11.7,4.8,4.22,0.58
Kevin Durant,2016-17,GSW,Shot Creator,"2,070",PF,28,5.27,4.44,0.83,10.3,5.74,4.2,1.54
Kevin Durant,2018-19,GSW,Shot Creator,"2,702",SF,30,5.23,4.44,0.79,13.2,3.87,3.64,0.23
James Harden,2020-21,HOU/BRK,Shot Creator,"1,609",PG-SG,31,3.66,4.42,-0.76,6.3,4.64,4.42,0.22
LeBron James,2014-15,CLE,Shot Creator,"2,493",SF,30,5.45,4.41,1.04,12.9,4.23,4.09,0.14
Dwyane Wade,2010-11,MIA,Shot Creator,"2,823",SG,29,5.09,4.4,0.68,13.8,4.56,3.54,1.02
Giannis Antetokounmpo,2021-22,MIL,Roll + Cut Big,"2,204",PF,27,6.54,4.37,2.17,12.3,6.58,4.97,1.61
Chris Paul,2010-11,NOH,Shot Creator,"2,880",PG,25,6.76,4.35,2.41,17,4.56,3.04,1.52
Trae Young,2020-21,ATL,Primary Ball Handler,"2,125",PG,22,2.13,4.34,-2.2,6.2,2.81,4.08,-1.28
Kobe Bryant,2012-13,LAL,Shot Creator,"3,013",SG,34,2.5,4.3,-1.8,9.8,2.29,3.26,-0.96
Joel Embiid,2021-22,PHI,Post Scorer,"2,297",C,28,6.39,4.29,2.09,12.7,5.63,4.36,1.27
Chris Paul,2017-18,HOU,Shot Creator,"1,847",PG,32,5.29,4.29,1,9.2,5.17,4.52,0.65
Derrick Rose,2010-11,CHI,Shot Creator,"3,026",PG,22,3.77,4.29,-0.53,12.3,4.03,3.5,0.53
Bradley Beal,2020-21,WAS,Slasher,"2,147",SG,27,2.86,4.26,-1.4,7.3,1.14,2.58,-1.44
Paul George,2018-19,OKC,Shot Creator,"2,841",SF,28,5.53,4.21,1.32,14.4,4.13,3.28,0.85
Kyle Lowry,2016-17,TOR,Primary Ball Handler,"2,244",PG,30,4.96,4.21,0.75,10.7,3.74,3.95,-0.21
Giannis Antetokounmpo,2018-19,MIL,Shot Creator,"2,358",PF,24,7.83,4.19,3.65,15,6.96,4.36,2.61
James Harden,2012-13,HOU,Shot Creator,"2,985",SG,23,3.18,4.14,-0.96,11.1,3.78,3.74,0.04
Kevin Durant,2017-18,GSW,Shot Creator,"2,325",SF,29,3.81,4.13,-0.33,9.4,4.44,3.96,0.48
Ryan Anderson,2011-12,ORL,Movement Shooter,"1,964",PF,23,3.71,4.13,-0.42,8,1.97,2.58,-0.61
Goran Dragic,2013-14,PHO,Slasher,"2,668",SG,27,3.35,4.13,-0.78,10.2,2.03,2.73,-0.7
Deron Williams,2009-10,UTA,Shot Creator,"2,802",PG,25,4,4.12,-0.12,11.8,3.21,3.04,0.17
Joel Embiid,2020-21,PHI,Post Scorer,"1,585",C,26,5.63,4.11,1.52,8,5.18,3.94,1.24
Bradley Beal,2019-20,WAS,Secondary Ball Handler,"2,053",SG,26,1.98,4.1,-2.13,5.8,1.2,3.52,-2.32
Mike Conley,2016-17,MEM,Primary Ball Handler,"2,292",PG,29,3.9,4.09,-0.18,9.4,3.27,3.43,-0.16
Kyrie Irving,2016-17,CLE,Shot Creator,"2,525",PG,24,2.85,4.09,-1.25,8.7,2.4,3.65,-1.25
Stephen Curry,2021-22,GSW,Primary Ball Handler,"2,211",PG,34,4.4,4,0.4,9.6,3.85,3.66,0.19
Kyrie Irving,2020-21,BRK,Shot Creator,"1,886",PG,28,3.38,3.99,-0.6,7,3.59,4.26,-0.68
Zion Williamson,2020-21,NOP,Slasher,"2,026",PF,20,3.91,3.97,-0.06,8.2,2.06,2.84,-0.78
Kobe Bryant,2010-11,LAL,Shot Creator,"2,779",SG,32,2.64,3.97,-1.34,9.3,2.9,3.39,-0.5
LeBron James,2020-21,LAL,Shot Creator,"1,504",PG,36,5.31,3.93,1.38,7.3,3.92,3.24,0.68
Derrick Rose,2011-12,CHI,Primary Ball Handler,"1,374",PG,23,3.8,3.93,-0.13,5.7,3.41,3.51,-0.11
Ja Morant,2021-22,MEM,Slasher,"1,889",PG,22,3.45,3.93,-0.48,7.1,2.34,3.11,-0.77
LeBron James,2018-19,LAL,Shot Creator,"1,937",SF,34,4.91,3.92,0.99,9.1,3.75,3.56,0.19
Kevin Durant,2014-15,OKC,Shot Creator,913,SF,26,4.85,3.91,0.94,4.4,3.81,3.88,-0.07
Manu Ginobili,2010-11,SAS,Primary Ball Handler,"2,425",SG,33,5.71,3.89,1.82,12.8,3.99,3.42,0.57
Jimmy Butler,2019-20,MIA,Shot Creator,"1,959",SF,30,4.94,3.89,1.05,9.2,3.94,3.01,0.93
Kevin Durant,2011-12,OKC,Shot Creator,"2,546",SF,23,3.96,3.86,0.1,10.9,4.14,3.59,0.55
Chris Paul,2019-20,OKC,Shot Creator,"2,208",PG,34,5.15,3.85,1.3,10.7,3.08,2.38,0.71
Jayson Tatum,2021-22,BOS,Shot Creator,"2,731",SF,24,5.11,3.85,1.26,13,3.97,3.22,0.75
Kevin Love,2011-12,MIN,Post Scorer,"2,145",PF,23,3,3.85,-0.85,7.8,2.42,3.05,-0.63
Deron Williams,2012-13,BRK,Secondary Ball Handler,"2,842",PG,28,2.76,3.83,-1.07,9.8,2.36,2.99,-0.63
Kemba Walker,2018-19,CHO,Primary Ball Handler,"2,863",PG,28,2.52,3.83,-1.31,9.2,2.08,3.41,-1.33
Steve Nash,2010-11,PHO,Shot Creator,"2,497",PG,36,2.95,3.82,-0.87,8.8,1.52,2.85,-1.33
Lou Williams,2014-15,TOR,Shot Creator,"2,016",SG,28,2,3.82,-1.82,5.9,1.32,3.01,-1.7
Kyle Lowry,2015-16,TOR,Primary Ball Handler,"2,851",PG,29,4.98,3.78,1.2,13.8,4.29,3.71,0.58
Blake Griffin,2011-12,LAC,Post Scorer,"2,392",PF,22,4.55,3.78,0.77,11.1,2.13,2.29,-0.15
Jimmy Butler,2020-21,MIA,Shot Creator,"1,745",SF,31,5.42,3.77,1.65,8.6,4.58,3.56,1.02
Kawhi Leonard,2018-19,TOR,Shot Creator,"2,040",SF,27,4.33,3.77,0.56,8.9,4.34,3.77,0.58
Mike Conley,2018-19,MEM,Primary Ball Handler,"2,342",PG,31,3.86,3.76,0.1,9.5,2.05,2.49,-0.43
Nikola Jokic,2016-17,DEN,Post Scorer,"2,038",C,21,4.28,3.75,0.52,8.9,3.2,2.88,0.33
Anthony Davis,2014-15,NOP,Roll + Cut Big,"2,455",PF,21,6.57,3.74,2.83,14.3,5.26,3.13,2.13
Damian Lillard,2014-15,POR,Primary Ball Handler,"2,925",PG,24,3.56,3.74,-0.18,11.6,3.13,3.05,0.08
DeMar DeRozan,2017-18,TOR,Shot Creator,"2,712",SG,28,3.02,3.72,-0.7,9.6,2.73,3.11,-0.39
Kyrie Irving,2018-19,BOS,Primary Ball Handler,"2,214",PG,26,3.97,3.69,0.28,9.1,3.5,3.46,0.04
Isaiah Thomas,2015-16,BOS,Primary Ball Handler,"2,644",PG,26,2.12,3.68,-1.57,7.9,2.34,3.08,-0.74
Damian Lillard,2015-16,POR,Shot Creator,"2,676",PG,25,1.81,3.68,-1.87,7.5,2.1,3.61,-1.5
Deron Williams,2010-11,NJN/UTA,Shot Creator,"2,465",PG,26,2.06,3.67,-1.61,7.3,2.21,3.22,-1.01
Carmelo Anthony,2012-13,NYK,Shot Creator,"2,482",PF,28,1.53,3.67,-2.14,6.5,2.64,3.77,-1.13
Manu Ginobili,2009-10,SAS,Shot Creator,"2,150",SG,32,3.22,3.65,-0.43,8,3.2,3.06,0.14
Isaiah Thomas,2014-15,TOT,Primary Ball Handler,"1,726",PG,25,1.26,3.65,-2.39,4.2,1.06,2.62,-1.55
Kawhi Leonard,2020-21,LAC,Shot Creator,"1,772",SF,29,4.94,3.61,1.33,8.3,4.8,4.21,0.6
Kyle Lowry,2013-14,TOR,Primary Ball Handler,"2,862",PG,27,4.01,3.6,0.4,12.1,3.28,3.07,0.21
Steve Nash,2011-12,PHO,Primary Ball Handler,"1,961",PG,37,3.05,3.6,-0.56,7.2,1.06,2.22,-1.16
Russell Westbrook,2017-18,OKC,Shot Creator,"2,914",PG,29,4.26,3.59,0.67,12.7,3.66,3.21,0.45
Kyrie Irving,2014-15,CLE,Shot Creator,"2,730",PG,22,2.77,3.58,-0.81,9.4,2.51,3.14,-0.63
Giannis Antetokounmpo,2020-21,MIL,Slasher,"2,013",PF,26,5.55,3.55,2,10.1,5.95,4.35,1.6
Kemba Walker,2016-17,CHO,Primary Ball Handler,"2,739",PG,26,2.7,3.55,-0.85,9.1,2.06,2.96,-0.9
Nikola Jokic,2018-19,DEN,Post Scorer,"2,504",C,23,4.63,3.53,1.09,11.3,4.52,3.32,1.2
Karl-Anthony Towns,2017-18,MIN,Post Scorer,"2,918",C,22,4.6,3.52,1.08,13.3,3.35,2.66,0.69
Jimmy Butler,2017-18,MIN,Shot Creator,"2,164",SG,28,4.3,3.52,0.78,9.5,2.95,3.19,-0.23
Kevin Durant,2021-22,BRK,Shot Creator,"2,047",PF,33,3.95,3.52,0.43,8.3,2.85,3.15,-0.3
Jimmy Butler,2016-17,CHI,Shot Creator,"2,809",SF,27,4.91,3.51,1.4,13.3,3.69,3.13,0.56
Isaiah Thomas,2013-14,SAC,Primary Ball Handler,"2,497",PG,24,2.61,3.51,-0.91,8.3,0.96,2.37,-1.41
Russell Westbrook,2012-13,OKC,Shot Creator,"2,861",PG,24,3.2,3.5,-0.3,10.7,4.12,4.15,-0.03
Luka Doncic,2021-22,DAL,Shot Creator,"2,301",PG,23,3,3.48,-0.48,8,4.68,4.24,0.44
Lou Williams,2017-18,LAC,Primary Ball Handler,"2,589",SG,31,0.32,3.47,-3.15,4.5,0.53,2.71,-2.18
Kevin Durant,2020-21,BRK,Shot Creator,"1,157",PF,32,3.35,3.46,-0.11,4.3,3.84,3.83,0.01
Anthony Davis,2018-19,NOP,Post Scorer,"1,850",C,25,5.83,3.45,2.37,9.7,5.47,3.65,1.82
Donovan Mitchell,2021-22,UTA,Primary Ball Handler,"2,266",SG,25,1.9,3.45,-1.55,6.3,3.23,3.99,-0.76
James Harden,2021-22,BRK/PHI,Shot Creator,"2,420",PG-SG,32,3.13,3.44,-0.31,8.6,3.13,3.06,0.07
Russell Westbrook,2013-14,OKC,Shot Creator,"1,412",PG,25,3.17,3.42,-0.24,5.2,3.18,3.4,-0.22
Kyrie Irving,2019-20,BRK,Secondary Ball Handler,658,PG,27,2.37,3.41,-1.04,2,3.35,3.82,-0.48
Kemba Walker,2017-18,CHO,Primary Ball Handler,"2,736",PG,27,3.47,3.4,0.07,10.5,2.21,2.99,-0.78
Nikola Jokic,2017-18,DEN,Versatile Big,"2,443",C,22,4.83,3.37,1.46,11.5,3.63,3.04,0.59
Chauncey Billups,2009-10,DEN,Shot Creator,"2,490",PG,33,2.46,3.37,-0.91,8,2.54,3.33,-0.79
Brandon Roy,2009-10,POR,Shot Creator,"2,419",SG,25,1.94,3.37,-1.43,6.9,2.42,3.04,-0.62
Tony Parker,2011-12,SAS,Primary Ball Handler,"1,923",PG,29,4.1,3.36,0.74,8.4,3.03,3.32,-0.29
Kyrie Irving,2017-18,BOS,Shot Creator,"1,931",PG,25,2.14,3.36,-1.21,5.8,3.12,3.54,-0.42
Ty Lawson,2014-15,DEN,Shot Creator,"2,665",PG,27,2,3.36,-1.36,7.8,0.84,1.91,-1.07
Jayson Tatum,2020-21,BOS,Shot Creator,"2,290",SF,22,4.01,3.35,0.66,9.4,2.56,2.81,-0.25
Dirk Nowitzki,2013-14,DAL,Versatile Big,"2,628",PF,35,3.52,3.31,0.21,10.3,2.89,3.04,-0.16
Devin Booker,2019-20,PHO,Shot Creator,"2,512",SG,23,1.7,3.3,-1.59,6.7,1.31,2.45,-1.14
Damian Lillard,2021-22,POR,Shot Creator,"1,056",PG,31,2.13,3.29,-1.17,3.1,0.74,2.59,-1.84
John Wall,2016-17,WAS,Shot Creator,"2,835",PG,26,2.74,3.24,-0.5,9.5,2.81,2.99,-0.18
Devin Booker,2021-22,PHO,Shot Creator,"2,345",SG,25,2.7,3.24,-0.54,7.7,2.69,2.75,-0.05
Klay Thompson,2014-15,GSW,Off Screen Shooter,"2,455",SG,24,3.05,3.2,-0.15,8.9,3.02,2.95,0.08
Bradley Beal,2016-17,WAS,Off Screen Shooter,"2,684",SG,23,1.94,3.19,-1.26,7.6,1.21,2.65,-1.44
Manu Ginobili,2013-14,SAS,Secondary Ball Handler,"1,550",SG,36,3.88,3.18,0.69,6.4,2.03,2.01,0.02
Karl-Anthony Towns,2016-17,MIN,Post Scorer,"3,030",C,21,2.54,3.17,-0.63,9.8,2.05,2.68,-0.63
Karl-Anthony Towns,2020-21,MIN,Versatile Big,"1,689",C,25,3.88,3.16,0.72,6.8,1.95,2.25,-0.3
Kobe Bryant,2009-10,LAL,Shot Creator,"2,835",SG,31,3.38,3.16,0.21,10.8,2.41,2.38,0.03
Andre Miller,2009-10,POR,Shot Creator,"2,500",PG,33,3.38,3.16,0.21,9.5,1.43,1.84,-0.42
Kobe Bryant,2011-12,LAL,Shot Creator,"2,232",SG,33,2.03,3.16,-1.13,6.6,1.59,2.67,-1.08
Joe Johnson,2009-10,ATL,Shot Creator,"2,886",SG,28,1.91,3.16,-1.25,8.2,1.23,2.28,-1.06
Jrue Holiday,2018-19,NOP,Primary Ball Handler,"2,402",SG,28,3.87,3.15,0.72,9.8,1.41,1.89,-0.47
Carmelo Anthony,2013-14,NYK,Shot Creator,"2,982",PF,29,2.38,3.15,-0.77,9.4,2.28,3.1,-0.82
Nikola Jokic,2019-20,DEN,Post Scorer,"2,335",C,24,4.19,3.14,1.05,9.9,3.45,2.96,0.49
Dirk Nowitzki,2010-11,DAL,Post Scorer,"2,504",PF,32,4.15,3.13,1.02,10.8,2.94,2.29,0.65
Zach Randolph,2010-11,MEM,Post Scorer,"2,724",PF,29,2.71,3.13,-0.42,9.2,1.52,1.9,-0.38
Ty Lawson,2013-14,DEN,Shot Creator,"2,222",PG,26,2.65,3.12,-0.47,7.4,1.44,2.04,-0.6
Carmelo Anthony,2009-10,DEN,Shot Creator,"2,634",SF,25,1.94,3.12,-1.18,7.5,1.54,2.67,-1.12
Deron Williams,2011-12,NJN,Shot Creator,"1,999",PG,27,0.91,3.12,-2.21,4.4,0.62,2.46,-1.84
Jimmy Butler,2021-22,MIA,Slasher,"1,931",SF,32,3.4,3.1,0.3,7.2,3.92,2.98,0.94
Mike Conley,2013-14,MEM,Slasher,"2,446",PG,26,3.22,3.1,0.12,9.1,2.48,2.3,0.18
Donovan Mitchell,2020-21,UTA,Primary Ball Handler,"1,771",PG,24,1.72,3.1,-1.38,4.7,3.09,3.84,-0.75
George Hill,2014-15,IND,Primary Ball Handler,"1,267",PG,28,3.04,3.09,-0.05,4.6,2.87,2.66,0.21
Joel Embiid,2018-19,PHI,Post Scorer,"2,154",C,24,5.68,3.08,2.6,11.1,4.64,3.02,1.62
LeBron James,2021-22,LAL,Stretch Big,"2,084",SF,37,3.37,3.07,0.3,7.7,3.05,3.39,-0.34
Lou Williams,2016-17,TOT,Secondary Ball Handler,"1,993",SG,30,0.76,3.07,-2.31,4.1,0.9,2.5,-1.6
Russell Westbrook,2011-12,OKC,Shot Creator,"2,331",PG,23,2.58,3.04,-0.47,7.8,2.24,3.06,-0.82
CJ McCollum,2020-21,POR,Primary Ball Handler,"1,600",SG,29,2.26,3.04,-0.78,4.8,1.88,3.26,-1.38
Stephen Curry,2012-13,GSW,Shot Creator,"2,983",PG,24,2.9,3.03,-0.14,10.5,2.21,2.85,-0.64
Karl-Anthony Towns,2021-22,MIN,Stretch Big,"2,476",C,26,2.84,3.03,-0.2,8.4,2.73,2.46,0.26
Damian Lillard,2013-14,POR,Primary Ball Handler,"2,937",PG,23,2.25,3.03,-0.78,9,2.02,2.86,-0.85
Kyle Lowry,2014-15,TOR,Primary Ball Handler,"2,414",PG,28,3.42,3.02,0.4,9.4,2.34,2.81,-0.46
Chris Paul,2009-10,NOH,Shot Creator,"1,712",PG,24,3.46,3.01,0.45,6.6,3.29,2.95,0.34
Lou Williams,2018-19,LAC,Slasher,"1,993",SG,32,0.7,3,-2.3,4,0.63,2.62,-1.99
Ryan Anderson,2013-14,NOP,Stretch Big,795,PF,25,0.55,3,-2.45,1.5,-0.44,1.96,-2.4
LaMarcus Aldridge,2017-18,SAS,Post Scorer,"2,509",C,32,4.46,2.99,1.47,11.2,2.36,2.07,0.29
Dwyane Wade,2012-13,MIA,Shot Creator,"2,391",SG,31,3.48,2.99,0.49,9.4,3.45,2.94,0.51
Kyle Lowry,2017-18,TOR,Primary Ball Handler,"2,510",PG,31,3.81,2.98,0.83,10.2,3.68,3.42,0.26
Kyrie Irving,2015-16,CLE,Shot Creator,"1,667",PG,23,1.14,2.97,-1.83,3.9,1.64,2.39,-0.75
Khris Middleton,2019-20,MIL,Shot Creator,"1,853",SF,28,4.83,2.96,1.88,8.6,3.66,2.57,1.09
Gordon Hayward,2016-17,UTA,Secondary Ball Handler,"2,516",SF,26,3.41,2.96,0.45,9.6,3.2,2.85,0.35
Paul Pierce,2010-11,BOS,Shot Creator,"2,774",SF,33,4.75,2.95,1.81,13,2.83,1.18,1.65
Karl-Anthony Towns,2018-19,MIN,Versatile Big,"2,545",C,23,3.79,2.94,0.86,10.2,2.93,2.63,0.3
Bradley Beal,2018-19,WAS,Primary Ball Handler,"3,028",SG,25,2.09,2.92,-0.83,8.8,1.18,2.47,-1.28
LaMarcus Aldridge,2014-15,POR,Post Scorer,"2,512",PF,29,3.66,2.91,0.75,10.1,2.33,1.71,0.62
Blake Griffin,2013-14,LAC,Post Scorer,"2,863",PF,24,3.65,2.9,0.76,11.5,3.25,2.74,0.51
Kyrie Irving,2011-12,CLE,Shot Creator,"1,558",PG,19,1.72,2.9,-1.18,4.3,0.13,1.5,-1.37
Dwyane Wade,2011-12,MIA,Shot Creator,"1,625",SG,30,4.47,2.87,1.6,7.5,3.65,2.72,0.93
Lou Williams,2011-12,PHI,Shot Creator,"1,682",PG,25,2.84,2.87,-0.03,5.9,1.68,2.24,-0.56
Kemba Walker,2019-20,BOS,Primary Ball Handler,"1,742",PG,29,2.64,2.86,-0.22,5.7,2.68,3.12,-0.44
Jamal Crawford,2013-14,LAC,Shot Creator,"2,094",SG,33,0.28,2.83,-2.54,3.6,0.41,2.19,-1.78
Eric Gordon,2011-12,NOH,Shot Creator,310,SG,23,2.25,2.82,-0.57,1,1.4,1.7,-0.31
Jayson Tatum,2019-20,BOS,Shot Creator,"2,265",PF,21,4.38,2.81,1.56,9.9,3.16,2.26,0.9
Ryan Anderson,2010-11,ORL,Movement Shooter,"1,424",PF,22,2.9,2.8,0.1,5,1.9,1.9,0
Dejounte Murray,2021-22,SAS,Slasher,"2,366",PG,25,3.35,2.77,0.58,8.8,3.09,2.36,0.73
Kevin Love,2016-17,CLE,Versatile Big,"1,885",PF,28,3.22,2.77,0.45,6.9,2.91,2.67,0.24
Danilo Gallinari,2019-20,OKC,Shot Creator,"1,834",PF,31,1.42,2.77,-1.35,4.5,2.08,2.53,-0.45
Ty Lawson,2011-12,DEN,Shot Creator,"2,124",PG,24,2.24,2.76,-0.52,6.6,2.18,2.64,-0.45
Carmelo Anthony,2014-15,NYK,Shot Creator,"1,428",SF,30,1.2,2.76,-1.55,3.4,0.37,1.88,-1.5
Russell Westbrook,2018-19,OKC,Shot Creator,"2,629",PG,30,4.13,2.75,1.38,11.1,3.6,2.13,1.47
Chris Paul,2021-22,PHO,Primary Ball Handler,"2,139",PG,36,3.83,2.75,1.08,8.5,4.13,2.51,1.62
Zach LaVine,2020-21,CHI,Primary Ball Handler,"2,034",SG,25,1.32,2.74,-1.43,4.9,1.64,2.51,-0.88
Kawhi Leonard,2015-16,SAS,Shot Creator,"2,380",SF,24,6.06,2.73,3.33,13.1,5.79,3.4,2.39
Boban Marjanovic,2015-16,SAS,Post Scorer,508,C,27,2.54,2.73,-0.19,1.7,2.11,1.78,0.33
Kyrie Irving,2021-22,BRK,Shot Creator,"1,091",PG,30,2.14,2.73,-0.6,3.2,1.66,2.47,-0.81
Trey Burke,2017-18,NYK,Slasher,785,PG,25,0.3,2.71,-2.41,1.4,0.75,2.21,-1.46
Ryan Anderson,2012-13,NOH,Athletic Finisher,"2,503",PF,24,0.07,2.71,-2.64,4,-0.6,1.81,-2.41
