PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Aaron Wiggins,2021-22,OKC,Athletic Finisher,"1,209",SG,23,-2.94,-1.99,-0.94,-0.4,-2.79,-2.32,-0.48
Derrick Caracter,2010-11,LAL,Post Scorer,215,C,22,-3.04,-1.99,-1.05,-0.1,-2.32,-1.85,-0.47
Robert Williams III,2018-19,BOS,Roll + Cut Big,283,C,21,0.08,-2,2.08,0.5,0.09,-1.96,2.04
AJ Hammons,2016-17,DAL,Post Scorer,163,C,24,-1.48,-2,0.52,0.1,-1.13,-1.9,0.77
Jared Dudley,2020-21,LAL,Stretch Big,81,PF,35,-1.52,-2,0.48,0,-1.77,-1.96,0.19
Josh Okogie,2020-21,MIN,Athletic Finisher,"1,197",SG,22,-1.69,-2,0.31,0.5,-2.18,-2.28,0.1
Jaylen Morris,2017-18,ATL,Stationary Shooter,98,SG,22,-1.73,-2,0.27,0,-1.35,-1.47,0.12
Jordan Mickey,2016-17,BOS,Roll + Cut Big,141,PF,22,-1.99,-2,0.01,0,-1.92,-1.87,-0.05
Luka Samanic,2020-21,SAS,Athletic Finisher,308,PF,21,-2.06,-2,-0.07,0.1,-1.86,-1.88,0.02
Antonius Cleveland,2019-20,DAL,Slasher,46,SG,25,-2.24,-2,-0.24,0,-1.95,-1.82,-0.13
Terrance Ferguson,2020-21,PHI,Stretch Big,49,SG,22,-2.59,-2,-0.58,0,-2.41,-1.93,-0.48
Jarrett Culver,2019-20,MIN,Primary Ball Handler,"1,506",SG,20,-2.64,-2,-0.64,-0.3,-2.57,-1.87,-0.71
Wayne Selden,2018-19,TOT,Stationary Shooter,"1,439",SG,24,-3.13,-2,-1.12,-0.7,-3.08,-2.15,-0.94
Jared Jeffries,2009-10,HOU/NYK,Athletic Finisher,"1,793",SF/PF,28,-0.22,-2.01,1.79,2.5,-1.3,-1.95,0.65
Kent Bazemore,2019-20,TOT,Stationary Shooter,"1,688",SF,30,-0.68,-2.01,1.33,1.8,-1.25,-1.74,0.49
Jason Maxiell,2011-12,DET,Roll + Cut Big,"1,466",PF,28,-0.92,-2.01,1.09,1.3,-1.45,-1.77,0.32
Daniel Theis,2021-22,HOU/BOS,Stretch Big,977,C,30,-1.09,-2.01,0.92,0.8,-0.8,-1.18,0.39
Joe Chealey,2019-20,CHO,Secondary Ball Handler,33,PG,24,-1.42,-2.01,0.58,0,-1.18,-1.66,0.48
Lou Amundson,2013-14,TOT,Roll + Cut Big,185,PF,31,-1.44,-2.01,0.57,0.1,-1.45,-1.7,0.26
Wesley Johnson,2013-14,LAL,Stationary Shooter,"2,240",SF,26,-1.87,-2.01,0.14,0.6,-1.98,-1.71,-0.27
Rashard Lewis,2011-12,WAS,Post Scorer,729,SF,32,-2.33,-2.01,-0.32,-0.1,-2.09,-1.31,-0.78
Tony Allen,2017-18,NOP,Roll + Cut Big,273,SF,36,-2.46,-2.01,-0.45,0,-2.79,-2.22,-0.57
Jahlil Okafor,2016-17,PHI,Post Scorer,"1,134",C,21,-2.69,-2.01,-0.68,-0.3,-1.5,-1.37,-0.12
Juwan Howard,2010-11,MIA,Stretch Big,592,PF,37,-2.77,-2.01,-0.76,-0.2,-2.92,-2.4,-0.53
Larry Hughes,2011-12,ORL,Secondary Ball Handler,114,PG,33,-2.8,-2.01,-0.79,0,-1.52,-1.31,-0.21
Tristan Thompson,2011-12,CLE,Post Scorer,"1,424",PF,20,-3.79,-2.01,-1.78,-1.5,-2.21,-1.51,-0.7
Rafer Alston,2009-10,MIA/NJN,Primary Ball Handler,"1,420",PG,33,-1.58,-2.02,0.44,0.7,-1.31,-0.89,-0.42
Jerami Grant,2016-17,TOT,Stationary Shooter,"1,531",PF,22,-1.72,-2.02,0.3,0.6,-0.73,-1.64,0.91
Dexter Pittman,2011-12,MIA,Post Scorer,301,C,23,-1.8,-2.02,0.22,0.1,-1.96,-1.77,-0.19
Josh Giddey,2021-22,OKC,Primary Ball Handler,"1,700",SG,19,-1.85,-2.02,0.17,0.6,-1.33,-1.22,-0.12
Brendan Haywood,2014-15,CLE,Post Scorer,119,C,35,-1.91,-2.02,0.1,0,-1.48,-1.69,0.21
Dragan Bender,2016-17,PHO,Stationary Shooter,574,PF,19,-1.97,-2.02,0.04,0.1,-2.2,-2.36,0.15
Jared Cunningham,2015-16,TOT,Stationary Shooter,410,SG,24,-2.36,-2.02,-0.34,0,-2.29,-1.94,-0.35
KJ McDaniels,2014-15,TOT,Stationary Shooter,"1,352",SG,21,-2.46,-2.02,-0.44,-0.2,-2.4,-2.53,0.13
Kirk Hinrich,2014-15,CHI,Primary Ball Handler,"1,610",SG,34,-2.58,-2.02,-0.56,-0.4,-2.37,-1.89,-0.48
Salah Mejri,2016-17,DAL,Roll + Cut Big,905,C,30,1.23,-2.03,3.26,2.1,0.29,-2.49,2.78
Omer Asik,2013-14,HOU,Roll + Cut Big,968,C,27,-0.26,-2.03,1.77,1.3,-0.33,-1.29,0.96
DeSagana Diop,2010-11,CHA,Athletic Finisher,181,C,29,-0.56,-2.03,1.46,0.2,-0.35,-1.58,1.23
