Team,Season,Player1,Player2,Arch1,Arch2,Lebron1,Lebron2,WinsAdded1,WinsAdded2,MPG1,MPG2,PM0,PM1,PM2,PM3
GSW,2013,Stephen Curry,David Lee,Shot Creator,Post Scorer,2.9,1.19,10.5,6.9,38.2,36.8,,,,
HOU,2013,James Harden,Omer Asik,Shot Creator,Roll + Cut Big,3.18,1.44,11.1,6.3,38.3,30.0,,,,
IND,2013,Paul George,George Hill,Secondary Ball Handler,Secondary Ball Handler,3.06,3.08,10.8,9.6,37.6,34.5,,,,
LAC,2013,Chris Paul,Blake Griffin,Shot Creator,Post Scorer,6.92,3.14,14.1,9.6,33.4,32.5,,,,
LAL,2013,Dwight Howard,Kobe Bryant,Post Scorer,Shot Creator,3.41,2.5,10.5,9.8,35.8,38.6,,,,
MEM,2013,Mike Conley,Marc Gasol,Primary Ball Handler,Post Scorer,4.9,3.55,13.3,11.1,34.5,35.0,,,,
MIA,2013,LeBron James,Dwyane Wade,Shot Creator,Shot Creator,7.4,3.48,18.1,9.4,37.9,34.7,,,,
MIL,2013,Larry Sanders,Monta Ellis,Roll + Cut Big,Primary Ball Handler,2.58,0.74,6.4,6.3,27.3,37.5,,,,
MIN,2013,Andrei Kirilenko,Ricky Rubio,Athletic Finisher,Primary Ball Handler,2.13,1.96,6.1,4.9,31.8,29.7,,,,
NOH,2013,AlFarouq Aminu,Anthony Davis,Athletic Finisher,Roll + Cut Big,0.89,1.01,4.5,4.1,27.2,28.8,,,,
NYK,2013,Tyson Chandler,Jason Kidd,Roll + Cut Big,Stationary Shooter,2.69,2.52,7.3,6.7,32.8,26.9,,,,
OKC,2013,Kevin Durant,Russell Westbrook,Shot Creator,Shot Creator,5.42,3.2,16.1,10.7,38.5,34.9,,,,
ORL,2013,Jameer Nelson,Nikola Vucevic,Primary Ball Handler,Post Scorer,0.58,-0.7,3.8,2.7,35.3,33.2,,,,
PHI,2013,Thaddeus Young,Jrue Holiday,Athletic Finisher,Shot Creator,1.25,-0.43,6.3,3.6,34.6,37.5,,,,
PHO,2013,Goran Dragic,Jared Dudley,Primary Ball Handler,Off Screen Shooter,1.96,0.34,7.5,3.9,33.5,27.5,,,,
POR,2013,LaMarcus Aldridge,Damian Lillard,Post Scorer,Shot Creator,1.94,0.28,8.0,5.5,37.7,38.6,,,,
SAC,2013,John Salmons,Tyreke Evans,Secondary Ball Handler,Shot Creator,-0.02,0.09,3.5,3.2,30.0,31.0,,,,
SAS,2013,Tim Duncan,Tiago Splitter,Post Scorer,Post Scorer,4.71,2.87,9.8,7.0,30.1,24.7,,,,
TOR,2013,Amir Johnson,Kyle Lowry,Roll + Cut Big,Primary Ball Handler,2.85,1.79,8.1,5.6,28.7,29.7,,,,
UTA,2013,Paul Millsap,Gordon Hayward,Post Scorer,Athletic Finisher,2.05,1.46,7.0,5.4,30.4,29.2,,,,
WAS,2013,John Wall,Nene,Shot Creator,Post Scorer,1.92,1.41,4.6,4.2,32.7,27.2,,,,
ATL,2014,Paul Millsap,DeMarre Carroll,Post Scorer,Athletic Finisher,2.43,1.34,7.9,5.8,33.5,32.1,,,,
BOS,2014,Jared Sullinger,Avery Bradley,Post Scorer,Secondary Ball Handler,0.18,-0.71,3.4,2.0,27.6,30.9,,,,
BRK,2014,Deron Williams,Paul Pierce,Shot Creator,Shot Creator,2.32,1.85,6.4,5.9,32.2,28.0,,,,
CHA,2014,Kemba Walker,Al Jefferson,Slasher,Post Scorer,3.18,2.19,9.7,7.8,35.8,35.0,,,,
CHI,2014,Joakim Noah,Jimmy Butler,Roll + Cut Big,Stationary Shooter,3.26,2.07,10.6,7.7,35.3,38.7,,,,
CLE,2014,Kyrie Irving,Anderson Varejao,Shot Creator,Roll + Cut Big,1.11,1.96,5.7,5.2,35.2,27.7,,,,
DAL,2014,Dirk Nowitzki,Monta Ellis,Versatile Big,Slasher,3.52,0.3,10.3,5.3,32.9,36.9,,,,
DEN,2014,Ty Lawson,Kenneth Faried,Shot Creator,Post Scorer,2.65,0.41,7.4,4.0,35.8,27.2,,,,
DET,2014,Andre Drummond,Brandon Jennings,Roll + Cut Big,Primary Ball Handler,2.13,0.52,7.9,5.2,32.3,34.1,,,,
GSW,2014,Stephen Curry,Klay Thompson,Shot Creator,Shot Creator,5.47,1.93,14.7,8.2,36.5,35.4,,,,
HOU,2014,James Harden,Dwight Howard,Shot Creator,Post Scorer,4.75,3.06,13.1,8.7,38.0,33.7,,,,
IND,2014,Paul George,David West,Shot Creator,Post Scorer,4.36,1.61,12.9,6.5,36.2,30.9,,,,
LAC,2014,Chris Paul,Blake Griffin,Shot Creator,Post Scorer,6.61,3.65,12.7,11.5,35.0,35.8,,,,
LAL,2014,Nick Young,Kendall Marshall,Shot Creator,Primary Ball Handler,-0.57,-0.61,2.1,1.8,28.3,29.0,,,,
MEM,2014,Mike Conley,Zach Randolph,Slasher,Post Scorer,3.22,1.63,9.1,7.2,33.5,34.2,,,,
MIA,2014,LeBron James,Chris Bosh,Shot Creator,Roll + Cut Big,5.42,3.38,14.9,9.7,37.7,32.0,,,,
MIL,2014,Giannis Antetokounmpo,Brandon Knight,Athletic Finisher,Primary Ball Handler,-0.38,-0.85,2.4,2.3,24.6,33.3,,,,
MIN,2014,Kevin Love,Ricky Rubio,Versatile Big,Slasher,4.45,2.74,12.6,9.0,36.3,32.2,,,,
NOP,2014,Anthony Davis,Jrue Holiday,Roll + Cut Big,Slasher,3.53,1.06,9.3,2.6,35.2,33.6,,,,
NYK,2014,Carmelo Anthony,Iman Shumpert,Shot Creator,Shot Creator,2.38,1.0,9.4,4.4,38.7,26.5,,,,
OKC,2014,Kevin Durant,Serge Ibaka,Shot Creator,Roll + Cut Big,6.77,2.89,18.5,9.4,38.5,32.9,,,,
ORL,2014,Nikola Vucevic,Jameer Nelson,Post Scorer,Primary Ball Handler,1.19,0.21,4.3,3.7,31.8,32.0,,,,
PHI,2014,Michael CarterWilliams,Thaddeus Young,Slasher,Roll + Cut Big,-0.13,-1.53,3.5,1.3,34.5,34.4,,,,
PHO,2014,Goran Dragic,Channing Frye,Slasher,Stretch Big,3.35,2.28,10.2,7.2,35.1,28.2,,,,
POR,2014,Damian Lillard,Nicolas Batum,Primary Ball Handler,Movement Shooter,2.25,2.08,9.0,8.8,35.8,36.0,,,,
SAC,2014,DeMarcus Cousins,Isaiah Thomas,Post Scorer,Primary Ball Handler,3.9,2.61,9.6,8.3,32.4,34.7,,,,
SAS,2014,Tim Duncan,Kawhi Leonard,Post Scorer,Shot Creator,3.25,3.83,8.1,7.9,29.2,29.1,,,,
TOR,2014,Kyle Lowry,DeMar DeRozan,Primary Ball Handler,Shot Creator,4.01,1.05,12.1,6.8,36.2,38.2,,,,
UTA,2014,Gordon Hayward,Derrick Favors,Secondary Ball Handler,Post Scorer,-0.03,-0.09,4.2,3.3,36.4,30.2,,,,
WAS,2014,John Wall,Marcin Gortat,Shot Creator,Post Scorer,2.23,1.14,9.1,6.2,36.3,32.8,,,,
ATL,2015,Paul Millsap,Kyle Korver,Roll + Cut Big,Off Screen Shooter,3.91,1.97,10.0,7.0,32.7,32.2,,,,
BOS,2015,Marcus Smart,Kelly Olynyk,Primary Ball Handler,Stretch Big,1.14,1.98,4.2,4.1,27.0,22.2,,,,
BRK,2015,Joe Johnson,Deron Williams,Shot Creator,Primary Ball Handler,0.72,1.25,5.7,5.1,34.9,31.1,,,,
CHI,2015,Jimmy Butler,Pau Gasol,Shot Creator,Post Scorer,2.6,1.76,8.4,7.4,38.7,34.4,,,,
CHO,2015,Kemba Walker,Michael KiddGilchrist,Slasher,Athletic Finisher,1.52,2.15,5.5,4.8,34.2,28.9,,,,
CLE,2015,LeBron James,Kyrie Irving,Shot Creator,Shot Creator,5.45,2.77,12.9,9.4,36.1,36.4,,,,
DAL,2015,Dirk Nowitzki,Tyson Chandler,Versatile Big,Roll + Cut Big,2.08,1.8,6.8,6.4,29.6,30.5,,,,
DEN,2015,Ty Lawson,Kenneth Faried,Shot Creator,Post Scorer,2.0,0.73,7.8,4.3,35.5,27.8,,,,
DET,2015,Andre Drummond,Greg Monroe,Post Scorer,Post Scorer,1.25,1.7,6.0,5.8,30.5,31.0,,,,
GSW,2015,Stephen Curry,Draymond Green,Primary Ball Handler,Stretch Big,6.8,4.06,15.6,10.7,32.7,31.5,,,,
HOU,2015,James Harden,Trevor Ariza,Shot Creator,Movement Shooter,5.39,0.87,15.3,6.3,36.8,35.7,,,,
IND,2015,George Hill,CJ Miles,Primary Ball Handler,Off Screen Shooter,3.04,1.38,4.6,4.6,29.5,26.3,,,,
LAC,2015,Chris Paul,DeAndre Jordan,Shot Creator,Roll + Cut Big,5.76,3.87,15.3,11.8,34.8,34.4,,,,
LAL,2015,Jeremy Lin,Ed Davis,Slasher,Roll + Cut Big,0.35,0.27,3.4,3.2,25.8,23.3,,,,
MEM,2015,Marc Gasol,Zach Randolph,Post Scorer,Post Scorer,3.53,2.37,10.6,7.3,33.2,32.5,,,,
MIA,2015,Hassan Whiteside,Luol Deng,Post Scorer,Shot Creator,3.35,0.17,4.4,4.0,23.8,33.6,,,,
MIL,2015,Khris Middleton,Giannis Antetokounmpo,Stationary Shooter,Shot Creator,2.36,0.48,7.5,4.8,30.1,31.4,,,,
MIN,2015,Gorgui Dieng,Ricky Rubio,Post Scorer,Primary Ball Handler,-0.45,3.07,2.7,2.5,30.0,31.5,,,,
NOP,2015,Anthony Davis,Tyreke Evans,Roll + Cut Big,Shot Creator,6.57,0.93,14.3,5.9,36.1,34.1,,,,
NYK,2015,Carmelo Anthony,Langston Galloway,Shot Creator,Primary Ball Handler,1.2,-1.14,3.4,1.1,35.7,32.4,,,,
OKC,2015,Russell Westbrook,Serge Ibaka,Shot Creator,Stretch Big,5.52,1.95,12.0,6.1,34.4,33.1,,,,
ORL,2015,Elfrid Payton,Victor Oladipo,Slasher,Slasher,0.87,0.33,5.3,4.6,30.4,35.7,,,,
PHI,2015,Robert Covington,Nerlens Noel,Movement Shooter,Post Scorer,1.14,-0.77,4.6,2.3,27.9,30.8,,,,
PHO,2015,Eric Bledsoe,Markieff Morris,Slasher,Post Scorer,2.85,1.55,9.8,6.8,34.6,31.5,,,,
POR,2015,Damian Lillard,LaMarcus Aldridge,Primary Ball Handler,Post Scorer,3.56,3.66,11.6,10.1,35.7,35.4,,,,
SAC,2015,DeMarcus Cousins,Darren Collison,Post Scorer,Primary Ball Handler,3.18,1.73,7.5,4.3,34.1,34.8,,,,
SAS,2015,Kawhi Leonard,Tim Duncan,Shot Creator,Post Scorer,5.9,4.0,11.1,9.5,31.8,28.9,,,,
TOR,2015,Kyle Lowry,Lou Williams,Primary Ball Handler,Shot Creator,3.42,2.0,9.4,5.9,34.5,25.2,,,,
UTA,2015,Gordon Hayward,Derrick Favors,Secondary Ball Handler,Post Scorer,2.83,2.67,9.1,7.7,34.4,30.8,,,,
WAS,2015,John Wall,Marcin Gortat,Slasher,Post Scorer,3.04,1.69,10.3,6.7,35.9,29.9,,,,
ATL,2016,Paul Millsap,Al Horford,Post Scorer,Roll + Cut Big,3.15,2.12,9.8,7.9,32.7,32.1,,,,
BOS,2016,Isaiah Thomas,Jae Crowder,Primary Ball Handler,Stationary Shooter,2.12,2.01,7.9,6.7,32.2,31.6,,,,
BRK,2016,Brook Lopez,Thaddeus Young,Post Scorer,Post Scorer,1.84,-0.52,6.9,2.8,33.7,33.0,,,,
CHI,2016,Jimmy Butler,Pau Gasol,Shot Creator,Post Scorer,2.63,2.41,8.3,7.3,36.9,31.8,,,,
CHO,2016,Kemba Walker,Marvin Williams,Primary Ball Handler,Stretch Big,2.55,1.49,9.5,6.0,35.6,28.9,,,,
CLE,2016,LeBron James,Kevin Love,Shot Creator,Versatile Big,6.83,3.33,16.1,9.2,35.6,31.5,,,,
DAL,2016,Dirk Nowitzki,Wesley Matthews,Versatile Big,Shot Creator,2.51,0.01,7.7,4.1,31.5,33.9,,,,
DEN,2016,Nikola Jokic,Danilo Gallinari,Post Scorer,Shot Creator,4.41,1.75,7.8,5.0,21.7,34.7,,,,
DET,2016,Andre Drummond,Kentavious CaldwellPope,Post Scorer,Secondary Ball Handler,3.98,1.2,11.3,6.6,32.9,36.7,,,,
GSW,2016,Stephen Curry,Draymond Green,Primary Ball Handler,Stretch Big,6.77,5.92,16.0,15.3,34.2,34.7,,,,
HOU,2016,James Harden,Dwight Howard,Shot Creator,Post Scorer,4.36,1.83,14.0,6.4,38.1,32.1,,,,
IND,2016,Paul George,George Hill,Shot Creator,Primary Ball Handler,2.62,1.17,9.4,5.9,34.8,34.1,,,,
LAC,2016,Chris Paul,DeAndre Jordan,Shot Creator,Roll + Cut Big,6.0,4.76,13.3,12.3,32.7,33.7,,,,
LAL,2016,Brandon Bass,Lou Williams,Roll + Cut Big,Secondary Ball Handler,0.81,-0.34,2.8,2.5,20.3,28.5,,,,
MEM,2016,Mike Conley,Marc Gasol,Primary Ball Handler,Post Scorer,2.75,1.01,6.0,4.0,31.4,34.4,,,,
MIA,2016,Hassan Whiteside,Chris Bosh,Post Scorer,Stretch Big,3.77,2.54,8.7,5.8,29.1,33.5,,,,
MIL,2016,Giannis Antetokounmpo,Khris Middleton,Shot Creator,Shot Creator,1.45,1.1,7.2,6.6,35.3,36.1,,,,
MIN,2016,Ricky Rubio,KarlAnthony Towns,Primary Ball Handler,Post Scorer,3.46,1.45,9.0,6.7,30.6,32.0,,,,
NOP,2016,Anthony Davis,Jrue Holiday,Post Scorer,Slasher,2.88,1.64,7.6,4.9,35.5,28.2,,,,
NYK,2016,Carmelo Anthony,Kristaps Porzingis,Shot Creator,Versatile Big,1.98,2.06,7.3,6.1,35.1,28.4,,,,
OKC,2016,Russell Westbrook,Kevin Durant,Shot Creator,Shot Creator,6.42,5.07,15.7,12.7,34.4,35.8,,,,
ORL,2016,Victor Oladipo,Aaron Gordon,Primary Ball Handler,Roll + Cut Big,1.08,1.31,5.4,4.6,33.0,23.9,,,,
PHI,2016,Robert Covington,Nerlens Noel,Movement Shooter,Roll + Cut Big,0.46,-0.5,3.5,2.4,28.4,29.3,,,,
PHO,2016,Eric Bledsoe,Mirza Teletovic,Slasher,Movement Shooter,1.83,-0.11,3.0,2.5,34.2,21.3,,,,
POR,2016,Damian Lillard,CJ McCollum,Shot Creator,Primary Ball Handler,1.81,1.56,7.5,7.3,35.7,34.8,,,,
SAC,2016,DeMarcus Cousins,Rudy Gay,Post Scorer,Shot Creator,3.66,0.24,9.0,4.1,34.6,34.0,,,,
SAS,2016,Kawhi Leonard,LaMarcus Aldridge,Shot Creator,Post Scorer,6.06,2.41,13.1,7.2,33.1,30.6,,,,
TOR,2016,Kyle Lowry,DeMar DeRozan,Primary Ball Handler,Shot Creator,4.98,1.04,13.8,6.3,37.0,35.9,,,,
UTA,2016,Gordon Hayward,Rudy Gobert,Secondary Ball Handler,Roll + Cut Big,2.68,3.17,9.8,7.1,36.2,31.7,,,,
WAS,2016,John Wall,Otto Porter Jr,Slasher,Athletic Finisher,2.8,1.75,9.6,6.2,36.2,30.3,,,,
ATL,2017,Paul Millsap,Dwight Howard,Post Scorer,Post Scorer,2.48,1.55,7.5,5.7,34.0,29.7,,,,
BOS,2017,Isaiah Thomas,Jae Crowder,Primary Ball Handler,Movement Shooter,2.84,1.56,8.8,6.0,33.8,32.4,,,,
BRK,2017,Brook Lopez,Jeremy Lin,Versatile Big,Primary Ball Handler,0.27,1.64,3.8,2.3,29.6,24.5,,,,
CHI,2017,Jimmy Butler,Nikola Mirotic,Shot Creator,Movement Shooter,4.91,1.24,13.3,4.0,37.0,24.0,,,,
CHO,2017,Kemba Walker,Michael KiddGilchrist,Primary Ball Handler,Athletic Finisher,2.7,1.64,9.1,6.2,34.7,29.0,,,,
CLE,2017,LeBron James,Kyrie Irving,Shot Creator,Shot Creator,5.78,2.85,14.7,8.7,37.8,35.1,,,,
DAL,2017,Harrison Barnes,Wesley Matthews,Slasher,Shot Creator,0.15,-0.39,4.6,3.2,35.5,34.2,,,,
DEN,2017,Nikola Jokic,Danilo Gallinari,Post Scorer,Shot Creator,4.28,2.22,8.9,6.5,27.9,33.9,,,,
DET,2017,Andre Drummond,Tobias Harris,Post Scorer,Shot Creator,1.45,0.36,6.1,4.6,29.7,31.3,,,,
GSW,2017,Stephen Curry,Draymond Green,Primary Ball Handler,Stretch Big,6.68,4.97,15.3,11.8,33.4,32.5,,,,
HOU,2017,James Harden,Trevor Ariza,Shot Creator,Stationary Shooter,5.48,1.81,15.0,7.6,36.4,34.7,,,,
IND,2017,Paul George,Jeff Teague,Shot Creator,Shot Creator,2.37,1.56,8.4,6.9,35.9,32.4,,,,
LAC,2017,Chris Paul,DeAndre Jordan,Shot Creator,Roll + Cut Big,6.26,3.8,10.6,10.4,31.5,31.7,,,,
LAL,2017,DAngelo Russell,Larry Nance Jr,Secondary Ball Handler,Roll + Cut Big,-0.18,0.28,2.6,2.5,28.7,22.9,,,,
MEM,2017,Mike Conley,Marc Gasol,Primary Ball Handler,Post Scorer,3.9,1.88,9.4,7.1,33.2,34.2,,,,
MIA,2017,Hassan Whiteside,James Johnson,Post Scorer,Shot Creator,2.59,1.53,8.2,5.4,32.6,27.4,,,,
MIL,2017,Giannis Antetokounmpo,Greg Monroe,Shot Creator,Post Scorer,4.5,1.14,12.8,4.2,35.6,22.5,,,,
MIN,2017,KarlAnthony Towns,Ricky Rubio,Post Scorer,Primary Ball Handler,2.54,1.88,9.8,6.9,37.0,32.9,,,,
NOP,2017,Anthony Davis,Jrue Holiday,Post Scorer,Primary Ball Handler,4.49,0.88,12.1,4.7,36.1,32.7,,,,
NYK,2017,Kristaps Porzingis,Carmelo Anthony,Stretch Big,Shot Creator,0.86,-0.54,4.6,3.0,32.8,34.3,,,,
OKC,2017,Russell Westbrook,Steven Adams,Shot Creator,Post Scorer,5.79,1.0,14.8,5.3,34.6,29.9,,,,
ORL,2017,Elfrid Payton,Aaron Gordon,Slasher,Athletic Finisher,0.47,0.3,4.5,4.0,29.4,28.7,,,,
PHI,2017,Robert Covington,Joel Embiid,Movement Shooter,Post Scorer,1.78,3.97,5.8,3.3,31.6,25.4,,,,
PHO,2017,Eric Bledsoe,Tyson Chandler,Primary Ball Handler,Roll + Cut Big,2.12,1.12,6.4,3.0,33.0,27.6,,,,
POR,2017,Damian Lillard,CJ McCollum,Shot Creator,Primary Ball Handler,4.24,1.61,11.7,7.3,35.9,35.0,,,,
SAC,2017,Rudy Gay,Darren Collison,Shot Creator,Primary Ball Handler,1.96,-0.27,2.9,2.8,33.8,30.3,,,,
SAS,2017,Kawhi Leonard,LaMarcus Aldridge,Shot Creator,Post Scorer,6.15,1.66,13.6,6.2,33.4,32.4,,,,
TOR,2017,Kyle Lowry,DeMar DeRozan,Primary Ball Handler,Shot Creator,4.96,1.46,10.7,6.6,37.4,35.4,,,,
UTA,2017,Rudy Gobert,Gordon Hayward,Roll + Cut Big,Secondary Ball Handler,5.76,3.41,14.4,9.6,33.9,34.5,,,,
WAS,2017,John Wall,Bradley Beal,Shot Creator,Off Screen Shooter,2.74,1.94,9.5,7.6,36.4,34.9,,,,
ATL,2018,John Collins,Kent Bazemore,Roll + Cut Big,Secondary Ball Handler,0.12,-0.05,2.9,2.7,24.1,27.5,,,,
BOS,2018,Al Horford,Jayson Tatum,Versatile Big,Movement Shooter,2.06,1.23,6.7,5.8,31.6,30.5,,,,
BRK,2018,Spencer Dinwiddie,DeMarre Carroll,Shot Creator,Movement Shooter,0.92,1.11,5.0,5.0,28.8,29.9,,,,
CHI,2018,Justin Holiday,Bobby Portis,Movement Shooter,Stretch Big,0.49,0.07,4.2,2.6,31.5,22.5,,,,
CHO,2018,Kemba Walker,Dwight Howard,Primary Ball Handler,Post Scorer,3.47,1.58,10.5,6.4,34.2,30.4,,,,
CLE,2018,LeBron James,Kevin Love,Shot Creator,Versatile Big,4.35,2.8,13.3,5.6,36.9,28.0,,,,
DAL,2018,Dwight Powell,Dirk Nowitzki,Roll + Cut Big,Versatile Big,1.45,0.93,4.2,4.1,21.2,24.7,,,,
DEN,2018,Nikola Jokic,Jamal Murray,Versatile Big,Primary Ball Handler,4.83,0.67,11.5,5.1,32.6,31.7,,,,
DET,2018,Andre Drummond,Anthony Tolliver,Roll + Cut Big,Movement Shooter,1.9,0.2,7.4,2.9,33.7,22.2,,,,
GSW,2018,Kevin Durant,Draymond Green,Shot Creator,Athletic Finisher,3.81,3.06,9.4,8.2,34.2,32.7,,,,
HOU,2018,James Harden,Chris Paul,Shot Creator,Shot Creator,6.32,5.29,14.3,9.2,35.4,31.8,,,,
IND,2018,Victor Oladipo,Thaddeus Young,Primary Ball Handler,Post Scorer,4.29,0.66,11.1,5.2,34.0,32.2,,,,
LAC,2018,DeAndre Jordan,Lou Williams,Roll + Cut Big,Primary Ball Handler,0.71,0.32,4.9,4.5,31.5,32.8,,,,
LAL,2018,Kentavious CaldwellPope,Lonzo Ball,Movement Shooter,Primary Ball Handler,0.51,1.15,4.6,4.1,33.2,34.2,,,,
MEM,2018,Marc Gasol,Tyreke Evans,Versatile Big,Primary Ball Handler,1.82,2.18,6.7,4.8,33.0,30.9,,,,
MIA,2018,Josh Richardson,Kelly Olynyk,Movement Shooter,Stretch Big,0.73,1.6,5.5,4.7,33.2,23.4,,,,
MIL,2018,Giannis Antetokounmpo,Khris Middleton,Shot Creator,Shot Creator,4.61,2.02,12.6,8.6,36.7,36.4,,,,
MIN,2018,KarlAnthony Towns,Jimmy Butler,Post Scorer,Shot Creator,4.6,4.3,13.3,9.5,35.6,36.7,,,,
NOP,2018,Anthony Davis,Jrue Holiday,Post Scorer,Slasher,4.69,2.29,12.6,9.0,36.4,36.1,,,,
NYK,2018,Kristaps Porzingis,Tim Hardaway Jr,Versatile Big,Secondary Ball Handler,2.49,1.29,5.0,4.5,32.4,33.1,,,,
OKC,2018,Russell Westbrook,Paul George,Shot Creator,Secondary Ball Handler,4.26,2.35,12.7,9.0,36.4,36.6,,,,
ORL,2018,Nikola Vucevic,Aaron Gordon,Post Scorer,Shot Creator,1.87,0.83,4.7,4.0,29.5,32.9,,,,
PHI,2018,Robert Covington,Joel Embiid,Movement Shooter,Post Scorer,2.83,3.9,8.7,7.9,31.7,30.3,,,,
PHO,2018,Alex Len,Marquese Chriss,Roll + Cut Big,Stretch Big,0.39,-0.52,2.5,1.8,20.2,21.2,,,,
POR,2018,Damian Lillard,CJ McCollum,Shot Creator,Primary Ball Handler,4.47,0.85,12.0,6.2,36.6,36.1,,,,
SAC,2018,Willie CauleyStein,Kosta Koufos,Post Scorer,Roll + Cut Big,-0.05,-0.37,3.1,1.8,28.0,19.6,,,,
SAS,2018,LaMarcus Aldridge,Kyle Anderson,Post Scorer,Athletic Finisher,4.46,1.51,11.2,5.1,33.5,26.7,,,,
TOR,2018,Kyle Lowry,DeMar DeRozan,Primary Ball Handler,Shot Creator,3.81,3.02,10.2,9.6,32.2,33.9,,,,
UTA,2018,Donovan Mitchell,Rudy Gobert,Primary Ball Handler,Roll + Cut Big,1.97,3.87,7.6,7.5,33.4,32.4,,,,
WAS,2018,Otto Porter Jr,Bradley Beal,Movement Shooter,Primary Ball Handler,2.75,1.28,8.2,7.2,31.6,36.3,,,,
ATL,2019,John Collins,Alex Len,Roll + Cut Big,Stretch Big,0.42,0.13,3.3,2.5,30.0,20.1,,,,
BOS,2019,Kyrie Irving,Jayson Tatum,Primary Ball Handler,Shot Creator,3.97,1.88,9.1,6.8,33.0,31.1,,,,
BRK,2019,DAngelo Russell,Jarrett Allen,Secondary Ball Handler,Roll + Cut Big,1.62,1.33,6.4,5.1,30.2,26.2,,,,
CHI,2019,Zach LaVine,Lauri Markkanen,Shot Creator,Stretch Big,-0.08,0.04,3.2,2.6,34.5,32.3,,,,
CHO,2019,Kemba Walker,Jeremy Lamb,Primary Ball Handler,Secondary Ball Handler,2.52,1.28,9.2,5.4,34.9,28.5,,,,
CLE,2019,Larry Nance Jr,Kevin Love,Roll + Cut Big,Versatile Big,0.82,3.15,3.7,2.2,26.8,27.2,,,,
DAL,2019,Luka Doncic,Dwight Powell,Shot Creator,Stretch Big,1.63,1.79,6.1,4.5,32.2,21.6,,,,
DEN,2019,Nikola Jokic,Paul Millsap,Post Scorer,Post Scorer,4.63,2.43,11.3,5.9,31.3,27.1,,,,
DET,2019,Andre Drummond,Blake Griffin,Post Scorer,Versatile Big,2.86,1.98,9.1,7.5,33.5,35.0,,,,
GSW,2019,Kevin Durant,Stephen Curry,Shot Creator,Primary Ball Handler,5.23,5.06,13.2,11.2,34.6,33.8,,,,
HOU,2019,James Harden,Clint Capela,Shot Creator,Roll + Cut Big,6.31,2.2,15.8,6.7,36.8,33.6,,,,
IND,2019,Myles Turner,Thaddeus Young,Stretch Big,Post Scorer,2.15,1.23,6.3,5.9,28.6,30.7,,,,
LAC,2019,Danilo Gallinari,Patrick Beverley,Shot Creator,Primary Ball Handler,2.94,0.79,7.1,4.4,30.3,27.4,,,,
LAL,2019,LeBron James,Kyle Kuzma,Shot Creator,Movement Shooter,4.91,0.52,9.1,4.4,35.2,33.1,,,,
MEM,2019,Mike Conley,Jaren Jackson Jr,Primary Ball Handler,Post Scorer,3.86,-0.51,9.5,1.8,33.5,26.1,,,,
MIA,2019,Hassan Whiteside,Josh Richardson,Post Scorer,Primary Ball Handler,3.37,0.43,6.3,4.6,23.3,34.8,,,,
MIL,2019,Giannis Antetokounmpo,Eric Bledsoe,Shot Creator,Primary Ball Handler,7.83,3.56,15.0,8.8,32.8,29.1,,,,
MIN,2019,KarlAnthony Towns,Tyus Jones,Versatile Big,Primary Ball Handler,3.79,0.58,10.2,3.0,33.1,22.9,,,,
NOP,2019,Jrue Holiday,Anthony Davis,Primary Ball Handler,Post Scorer,3.87,5.83,9.8,9.7,35.9,33.0,,,,
NYK,2019,Mitchell Robinson,Noah Vonleh,Roll + Cut Big,Versatile Big,1.66,-0.2,3.6,2.4,20.6,25.3,,,,
OKC,2019,Paul George,Russell Westbrook,Shot Creator,Shot Creator,5.53,4.13,14.4,11.1,36.9,36.0,,,,
ORL,2019,Nikola Vucevic,Aaron Gordon,Post Scorer,Shot Creator,4.36,0.98,11.0,5.8,31.4,33.8,,,,
PHI,2019,Joel Embiid,Ben Simmons,Post Scorer,Post Scorer,5.68,0.98,11.1,5.9,33.7,34.2,,,,
PHO,2019,Devin Booker,Mikal Bridges,Shot Creator,Movement Shooter,-0.11,-0.43,3.3,3.0,35.0,29.5,,,,
POR,2019,Damian Lillard,Jusuf Nurkic,Primary Ball Handler,Post Scorer,4.83,4.08,13.2,8.3,35.5,27.4,,,,
SAC,2019,Willie CauleyStein,DeAaron Fox,Roll + Cut Big,Slasher,1.6,0.66,5.7,5.0,27.3,31.4,,,,
SAS,2019,LaMarcus Aldridge,DeMar DeRozan,Post Scorer,Shot Creator,1.85,0.72,7.4,5.4,33.2,34.9,,,,
TOR,2019,Kawhi Leonard,Kyle Lowry,Shot Creator,Primary Ball Handler,4.33,3.23,8.9,8.1,34.0,34.0,,,,
UTA,2019,Rudy Gobert,Joe Ingles,Roll + Cut Big,Secondary Ball Handler,5.06,2.05,12.3,7.4,31.8,31.3,,,,
