Team,Season,Player1,Player2,Arch1,Arch2,Lebron1,Lebron2,WinsAdded1,WinsAdded2,MPG1,MPG2,PM0,PM1,PM2,PM3
MEM,2021,Kyle Anderson,Jonas Valanciunas,Secondary Ball Handler,Post Scorer,2.04,2.32,5.4,5.3,27.3,28.3,,,,
MIA,2021,Jimmy Butler,Bam Adebayo,Shot Creator,Roll + Cut Big,5.42,2.19,8.6,6.3,33.6,33.5,,,,
MIL,2021,Giannis Antetokounmpo,Jrue Holiday,Slasher,Shot Creator,5.55,3.18,10.1,6.8,33.0,32.3,,,,
MIN,2021,KarlAnthony Towns,Ricky Rubio,Versatile Big,Primary Ball Handler,3.88,0.4,6.8,3.2,33.8,26.1,,,,
NOP,2021,Zion Williamson,Brandon Ingram,Slasher,Secondary Ball Handler,3.91,1.27,8.2,5.0,33.2,34.3,,,,
NYK,2021,Julius Randle,Immanuel Quickley,Versatile Big,Primary Ball Handler,1.16,0.92,6.1,2.7,37.6,19.4,,,,
OKC,2021,Shai GilgeousAlexander,Al Horford,Shot Creator,Versatile Big,0.48,1.42,2.2,1.9,33.7,27.9,,,,
ORL,2021,James Ennis III,Mo Bamba,Stationary Shooter,Stretch Big,0.17,0.2,1.6,1.2,24.0,15.8,,,,
PHI,2021,Joel Embiid,Tobias Harris,Post Scorer,Shot Creator,5.63,1.87,8.0,5.5,31.1,32.5,,,,
PHO,2021,Chris Paul,Mikal Bridges,Shot Creator,Stationary Shooter,3.53,1.78,8.4,6.3,31.4,32.6,,,,
POR,2021,Damian Lillard,Robert Covington,Shot Creator,Movement Shooter,3.73,1.42,9.4,5.5,35.8,32.0,,,,
SAC,2021,Richaun Holmes,DeAaron Fox,Roll + Cut Big,Slasher,1.8,1.08,4.8,4.6,29.2,35.1,,,,
SAS,2021,Dejounte Murray,Jakob Poeltl,Slasher,Roll + Cut Big,2.21,2.14,6.4,5.4,31.9,26.7,,,,
TOR,2021,Fred VanVleet,Pascal Siakam,Primary Ball Handler,Shot Creator,3.29,2.45,6.9,6.3,36.5,35.8,,,,
UTA,2021,Rudy Gobert,Mike Conley,Roll + Cut Big,Primary Ball Handler,6.01,3.22,11.6,5.4,30.8,29.4,,,,
WAS,2021,Russell Westbrook,Bradley Beal,Shot Creator,Slasher,2.84,2.86,8.0,7.3,36.4,35.8,,,,
ATL,2022,Trae Young,Clint Capela,Shot Creator,Roll + Cut Big,2.93,2.89,9.1,7.0,34.9,27.6,,,,
BOS,2022,Jayson Tatum,Al Horford,Shot Creator,Stretch Big,5.11,4.12,13.0,8.4,35.9,29.1,,,,
BRK,2022,Kevin Durant,Kyrie Irving,Shot Creator,Shot Creator,3.95,2.14,8.3,3.2,37.2,37.6,,,,
CHI,2022,DeMar DeRozan,Nikola Vucevic,Shot Creator,Versatile Big,1.06,1.33,6.1,5.8,36.1,33.1,,,,
CHO,2022,Miles Bridges,Terry Rozier,Stationary Shooter,Primary Ball Handler,1.72,1.82,7.5,6.7,35.5,33.7,,,,
CLE,2022,Darius Garland,Jarrett Allen,Primary Ball Handler,Roll + Cut Big,2.47,2.73,7.6,6.0,35.7,32.3,,,,
DAL,2022,Luka Doncic,Jalen Brunson,Shot Creator,Slasher,3.0,1.08,8.0,5.7,35.4,31.9,,,,
DEN,2022,Nikola Jokic,Aaron Gordon,Post Scorer,Stretch Big,7.8,0.8,15.5,4.9,33.5,31.7,,,,
DET,2022,Jerami Grant,Saddiq Bey,Shot Creator,Movement Shooter,0.33,-1.14,2.6,2.2,31.9,33.0,,,,
GSW,2022,Stephen Curry,Jordan Poole,Primary Ball Handler,Primary Ball Handler,4.4,1.36,9.6,5.5,34.5,30.0,,,,
HOU,2022,Christian Wood,Garrison Mathews,Stretch Big,Movement Shooter,-0.29,-0.99,2.8,1.5,30.8,26.3,,,,
IND,2022,Myles Turner,Malcolm Brogdon,Stretch Big,Primary Ball Handler,3.27,2.15,4.5,3.5,29.4,33.5,,,,
LAC,2022,Isaiah Hartenstein,Ivica Zubac,Roll + Cut Big,Post Scorer,2.19,0.51,3.6,3.5,17.9,24.4,,,,
LAL,2022,LeBron James,Anthony Davis,Stretch Big,Post Scorer,3.37,2.6,7.7,4.5,37.2,35.1,,,,
MEM,2022,Jaren Jackson Jr,Ja Morant,Stretch Big,Slasher,3.1,3.45,7.5,7.1,27.3,33.1,,,,
MIA,2022,Jimmy Butler,Bam Adebayo,Slasher,Post Scorer,3.4,2.68,7.2,6.0,33.9,32.6,,,,
MIL,2022,Giannis Antetokounmpo,Jrue Holiday,Roll + Cut Big,Shot Creator,6.54,3.32,12.3,8.1,32.9,32.9,,,,
MIN,2022,KarlAnthony Towns,Anthony Edwards,Stretch Big,Shot Creator,2.84,0.97,8.4,5.4,33.5,34.3,,,,
NOP,2022,Herbert Jones,Jonas Valanciunas,Athletic Finisher,Post Scorer,1.89,1.96,6.5,6.3,29.9,30.3,,,,
NYK,2022,Immanuel Quickley,Mitchell Robinson,Primary Ball Handler,Roll + Cut Big,1.68,1.27,4.7,4.4,23.1,25.7,,,,
OKC,2022,Shai GilgeousAlexander,Aleksej Pokusevski,Shot Creator,Stationary Shooter,2.5,-0.43,6.1,1.6,34.7,20.2,,,,
ORL,2022,Wendell Carter Jr,Franz Wagner,Stretch Big,Secondary Ball Handler,1.98,0.04,5.2,3.8,29.9,30.7,,,,
PHI,2022,Joel Embiid,Tobias Harris,Post Scorer,Shot Creator,6.39,0.74,12.7,5.2,33.8,34.8,,,,
PHO,2022,Chris Paul,Devin Booker,Primary Ball Handler,Shot Creator,3.83,2.7,8.5,7.7,32.9,34.5,,,,
POR,2022,Jusuf Nurkic,Damian Lillard,Post Scorer,Shot Creator,1.6,2.13,4.1,3.1,28.2,36.4,,,,
SAC,2022,Harrison Barnes,DeAaron Fox,Stationary Shooter,Slasher,-0.68,-0.96,2.8,1.9,33.6,35.3,,,,
SAS,2022,Dejounte Murray,Jakob Poeltl,Slasher,Roll + Cut Big,3.35,2.87,8.8,6.7,34.8,29.0,,,,
TOR,2022,Pascal Siakam,Fred VanVleet,Shot Creator,Primary Ball Handler,2.26,2.16,7.8,7.3,37.9,37.9,,,,
UTA,2022,Rudy Gobert,Mike Conley,Roll + Cut Big,Primary Ball Handler,5.32,2.6,10.4,6.6,32.1,28.6,,,,
WAS,2022,Daniel Gafford,Deni Avdija,Roll + Cut Big,Stationary Shooter,1.44,0.44,3.6,3.6,20.1,24.2,,,,
